,Unnamed: 0,p1_tag,p1_trophy,p1_card_0_id,p1_card_0_lv,p1_card_1_id,p1_card_1_lv,p1_card_2_id,p1_card_2_lv,p1_card_3_id,p1_card_3_lv,p1_card_4_id,p1_card_4_lv,p1_card_5_id,p1_card_5_lv,p1_card_6_id,p1_card_6_lv,p1_card_7_id,p1_card_7_lv,p1_crowns,p2_tag,p2_trophy,p2_card_0_id,p2_card_0_lv,p2_card_1_id,p2_card_1_lv,p2_card_2_id,p2_card_2_lv,p2_card_3_id,p2_card_3_lv,p2_card_4_id,p2_card_4_lv,p2_card_5_id,p2_card_5_lv,p2_card_6_id,p2_card_6_lv,p2_card_7_id,p2_card_7_lv,p2_crowns,winner
257,257,#22LQPG9VL,6511,26000029,6,28000000,12,28000013,9,26000057,12,26000049,14,26000015,9,26000035,6,26000025,9,1,#20LULYV2J,6526,26000003,12,26000005,14,28000010,6,28000017,14,28000001,14,26000012,9,26000072,4,26000027,9,2,2
258,258,#22LQPG9VL,6544,26000029,6,26000006,9,28000000,12,26000039,12,26000025,9,28000008,14,27000009,12,26000080,14,0,#UGPLUJ0C,6507,26000004,9,26000006,9,26000035,6,26000063,9,26000015,9,28000012,9,28000005,9,28000015,9,3,2
259,259,#22LQPG9VL,6575,26000029,6,26000006,9,28000000,12,26000039,12,26000025,9,28000008,14,27000009,12,26000080,14,1,#JJUGQUY9,6552,26000029,6,26000006,9,26000039,12,26000015,9,27000009,12,26000025,8,28000008,14,28000000,12,2,2
260,260,#22LQPG9VL,6547,26000029,6,26000006,9,28000000,12,26000039,12,26000025,9,28000008,14,27000009,12,26000080,14,1,#2GQYLQPGG,6530,26000032,6,26000061,6,28000003,12,26000049,14,28000011,6,26000038,12,26000026,6,26000018,12,0,1
261,261,#22LQPG9VL,6578,26000009,9,26000048,6,28000000,12,26000039,12,28000012,9,26000035,6,27000007,12,26000080,14,0,#2LRVU8JC8,6557,26000056,14,28000004,9,26000012,9,26000011,12,26000040,12,27000003,12,28000000,12,28000011,6,2,2
262,262,#22LQPG9VL,6606,26000029,6,28000000,12,28000013,9,26000057,12,26000049,14,26000015,9,26000035,6,26000025,9,1,#80YVV0GC,6621,26000024,14,26000010,14,26000050,6,26000084,14,28000000,12,26000061,6,28000011,6,26000044,9,2,2
263,263,#22LQPG9VL,6571,26000029,6,28000000,12,28000013,9,26000057,12,26000049,14,26000015,9,26000035,6,26000025,9,2,#PRYCG0LJC,6631,26000000,14,28000011,6,26000014,12,26000021,12,27000006,14,26000084,14,28000014,12,26000010,14,1,1
264,264,#22LQPG9VL,6545,26000029,6,28000000,12,28000013,9,26000057,12,26000049,14,26000015,9,26000035,6,26000025,9,3,#RC29V98V,6508,26000021,12,26000084,14,26000018,12,26000064,14,26000025,9,26000038,12,28000014,12,28000011,6,1,1
265,265,#22LQPG9VL,6513,26000029,6,28000000,12,28000013,9,26000057,12,26000049,14,26000015,9,26000035,6,26000025,9,2,#Q0UJ2R220,6541,26000006,9,26000032,6,26000038,12,26000010,14,26000014,12,27000003,12,26000011,12,28000017,14,1,1
266,266,#22LQPG9VL,6541,26000029,6,28000000,12,28000013,9,26000057,12,26000049,14,26000015,9,26000035,6,26000025,9,0,#80VUCV2,6556,26000029,6,26000069,4,26000039,12,26000032,6,26000057,12,26000080,14,27000009,12,28000001,14,1,2
267,267,#YJV009QC,6526,26000060,9,26000022,14,26000008,14,26000033,6,26000005,14,28000001,14,28000005,9,26000006,9,1,#8QV0LGR2,6509,26000049,14,26000002,14,26000056,14,26000028,12,28000013,9,26000020,9,26000035,6,26000013,14,2,2
268,268,#YJV009QC,6496,26000060,9,26000022,14,26000008,14,26000033,6,26000005,14,28000001,14,28000005,9,26000006,9,3,#YGC9LQUPL,6506,26000028,12,26000059,12,26000044,9,26000038,12,26000074,4,26000050,6,28000015,9,28000016,12,0,1
269,269,#YJV009QC,6529,26000060,9,26000022,14,26000008,14,26000033,6,26000005,14,28000001,14,28000005,9,26000006,9,0,#P9Q0V8L2,6490,26000035,6,26000006,9,28000012,9,26000037,6,26000063,9,28000005,9,28000015,9,26000034,9,1,2
270,270,#YJV009QC,6557,26000060,9,26000022,14,26000008,14,26000033,6,26000005,14,28000001,14,28000005,9,26000006,9,0,#JGCUQRVL,6575,26000043,14,27000009,12,26000021,12,28000000,12,28000011,6,26000001,14,28000008,14,26000038,12,1,2
271,271,#YJV009QC,6589,26000060,9,26000022,14,26000008,14,26000033,6,26000005,14,28000001,14,28000005,9,26000006,9,0,#2GU8YRRUU,6562,26000074,4,26000040,12,26000012,9,28000004,9,26000056,14,26000026,6,27000003,12,28000011,6,2,2
272,272,#YJV009QC,6558,26000060,9,26000022,14,26000008,14,26000033,6,26000005,14,28000001,14,28000005,9,26000006,9,2,#2LUYYCRJQ,6581,26000084,14,26000024,14,26000027,9,26000010,14,26000061,6,28000007,9,26000044,9,28000011,6,0,1
273,273,#YJV009QC,6527,26000060,9,26000022,14,26000008,14,26000033,6,26000005,14,28000001,14,28000005,9,26000006,9,3,#CUP2Q8Q9,6548,27000008,9,27000006,14,26000000,14,26000001,14,26000010,14,26000030,14,28000000,12,28000011,6,0,1
274,274,#YJV009QC,6496,26000060,9,26000022,14,26000008,14,26000033,6,26000005,14,28000001,14,28000005,9,26000006,9,1,#JYYY9R0U,6517,26000072,4,28000000,12,28000011,6,26000032,6,27000002,14,26000011,12,26000010,14,26000031,14,0,1
275,275,#YJV009QC,6525,26000060,9,26000022,14,26000008,14,26000033,6,26000005,14,28000001,14,28000005,9,26000006,9,0,#2VC8G2QJP,6526,26000060,9,28000008,14,26000039,12,28000002,7,28000006,9,26000043,14,26000042,6,26000033,6,1,2
276,276,#YJV009QC,6496,26000060,9,26000022,14,26000008,14,26000033,6,26000005,14,28000001,14,28000005,9,26000006,9,1,#PCPVUPLP,6495,26000024,14,26000061,6,26000083,6,26000012,9,26000069,4,28000000,12,28000011,6,26000052,11,0,1
277,277,#YJV009QC,6526,26000060,9,26000022,14,26000008,14,26000033,6,26000005,14,28000001,14,28000005,9,26000006,9,1,#28VURQURR,6519,26000009,9,27000007,12,26000035,6,26000054,9,26000046,6,26000063,9,26000015,9,28000012,8,3,2
278,278,#YJV009QC,6499,26000060,9,26000022,14,26000008,14,26000033,6,26000005,14,28000001,14,28000005,9,26000006,9,1,#G29QLQ8P,6473,26000043,14,26000062,6,26000036,12,28000016,12,28000011,6,26000046,6,26000050,6,26000072,4,0,1
279,279,#YJV009QC,6526,26000060,9,26000022,14,26000008,14,26000033,6,26000005,14,28000001,14,28000005,9,26000006,9,0,#Y9RQVQVR,6553,26000045,9,26000014,12,26000004,9,26000018,12,28000001,14,28000012,9,28000003,12,28000006,9,2,2
280,280,#YJV009QC,6495,26000060,9,26000022,14,26000008,14,26000033,6,26000005,14,28000001,14,28000005,9,26000006,9,3,#CLR80000,6508,26000031,14,26000010,14,28000011,6,28000018,14,27000000,14,28000014,12,26000059,12,26000072,4,0,1
281,281,#YJV009QC,6469,26000060,9,26000022,14,26000008,14,26000033,6,26000005,14,28000001,14,28000005,9,26000006,9,1,#QQQJ0QUR,6434,28000012,9,28000010,6,27000004,12,28000011,6,26000023,6,26000015,9,26000011,12,28000009,9,0,1
282,282,#YJV009QC,6441,26000060,9,26000022,14,26000008,14,26000033,6,26000005,14,28000001,14,28000005,9,26000006,9,2,#2Y0R2L2CY,6427,26000074,4,26000035,6,28000015,9,28000016,12,26000051,6,26000062,6,26000042,6,28000000,12,1,1
283,283,#YJV009QC,6472,26000060,9,26000022,14,26000008,14,26000033,6,26000005,14,28000001,14,28000005,9,26000006,9,0,#GPRG229C,6458,26000021,12,26000018,12,26000038,12,28000003,12,26000026,6,26000031,14,26000049,14,28000011,6,3,2
284,284,#YJV009QC,6444,26000060,9,26000022,14,26000008,14,26000033,6,26000005,14,28000001,14,28000005,9,26000006,9,1,#Y2VGVCL2V,6421,26000052,12,26000044,9,26000061,6,28000014,12,26000020,9,26000024,14,28000011,6,26000084,14,0,1
285,285,#YJV009QC,6416,26000060,9,26000022,14,26000008,14,26000033,6,26000005,14,28000001,14,28000005,9,26000006,9,1,#8GG2YRJ8,6401,26000026,6,27000006,14,28000003,12,28000011,6,26000041,14,26000030,14,28000004,9,26000011,12,0,1
286,286,#YJV009QC,6387,26000060,9,26000022,14,26000008,14,26000033,6,26000005,14,28000001,14,28000005,9,26000006,8,2,#VVQ2LUL,6385,26000009,9,26000048,6,26000012,9,28000013,9,26000035,6,28000000,12,26000049,14,26000015,9,1,1
287,287,#YJV009QC,6357,26000060,9,26000022,14,26000008,14,26000033,6,26000005,14,28000001,14,28000005,9,26000006,8,3,#L9JYRC90R,6362,26000024,14,26000044,9,26000072,4,26000061,6,26000050,6,28000011,6,26000084,14,28000007,9,0,1
288,288,#YJV009QC,6330,26000072,4,28000001,14,26000034,8,26000003,12,28000017,13,28000010,6,26000048,6,26000012,9,2,#2Y8892VGR,6305,26000024,14,26000039,12,26000074,4,27000012,12,28000008,13,26000044,9,26000042,6,26000030,14,1,1
289,289,#YJV009QC,6304,26000072,4,28000001,14,26000034,8,26000003,12,28000017,13,28000010,6,26000048,6,26000012,9,1,#P9LYL8J9C,6266,28000004,9,26000025,9,28000001,14,26000022,14,26000017,12,26000055,6,26000027,9,26000046,6,0,1
290,290,#LJ0P08P9Q,6421,26000009,9,28000007,9,26000027,9,26000039,12,28000012,9,26000015,9,28000015,9,26000018,12,1,#G2UUGJ929,6395,26000004,9,26000042,6,26000046,6,28000008,14,26000036,12,26000050,6,26000062,6,28000000,12,0,1
291,291,#LJ0P08P9Q,6394,26000009,9,28000007,9,26000027,9,26000039,12,28000012,9,26000015,9,28000015,9,26000018,12,1,#PC00URVG,6370,26000026,6,28000004,9,27000003,12,28000003,12,28000011,5,26000025,8,26000084,14,26000011,12,0,1
292,292,#LJ0P08P9Q,6422,26000009,9,28000007,9,26000027,9,26000039,12,28000012,9,26000015,9,28000015,9,26000018,12,0,#2288L8V8,6442,26000006,9,26000038,12,28000000,12,26000039,12,28000008,14,26000037,6,26000032,6,27000012,12,1,2
293,293,#LJ0P08P9Q,6454,26000009,9,28000007,9,26000027,9,26000039,12,28000012,9,26000015,9,28000015,9,27000012,12,0,#2V0R0JVU2,6428,26000032,6,27000003,12,26000074,4,26000042,6,28000011,6,28000009,9,26000031,14,26000010,14,1,2
294,294,#8Q29Y9PYG,6385,28000004,9,26000074,4,26000040,12,26000025,9,26000056,14,27000003,12,28000018,14,28000011,6,1,#2YC0UQUG,6409,26000074,4,26000037,6,28000000,12,26000046,6,28000001,14,26000042,6,26000055,6,26000051,6,0,1
295,295,#8Q29Y9PYG,6355,28000004,9,26000074,4,26000040,12,26000025,9,26000056,14,27000003,12,28000018,14,28000011,6,1,#2G000J29L,6364,28000000,12,26000024,14,28000008,14,26000027,9,26000043,14,26000007,9,26000018,12,28000002,7,0,1
296,296,#8Q29Y9PYG,6385,28000004,9,26000074,4,26000040,12,26000025,9,26000056,14,27000003,12,28000018,14,28000011,6,0,#8P0Q0YU82,6374,26000021,12,28000008,14,26000017,12,26000012,9,26000023,6,26000055,6,28000012,9,26000049,14,1,2
297,297,#8Q29Y9PYG,6357,28000004,9,26000074,4,26000040,12,26000025,9,26000056,14,27000003,12,28000018,14,28000011,6,1,#Y8CPC2R,6342,26000020,9,26000024,14,26000052,12,28000004,9,26000049,14,26000069,4,26000040,12,26000012,9,0,1
298,298,#8Q29Y9PYG,6383,28000004,9,26000074,4,26000040,12,26000025,9,26000056,14,27000003,12,28000018,14,28000011,6,0,#YCR8G2VLV,6420,28000009,9,26000011,12,28000015,9,27000012,12,26000015,9,26000072,4,28000010,6,28000012,9,1,2
299,299,#8Q29Y9PYG,6351,28000004,9,26000074,4,26000040,12,26000025,9,26000056,14,27000003,12,28000018,14,28000011,6,3,#VJY00PVQ,6380,26000048,6,28000010,6,26000049,14,28000017,14,26000003,12,26000034,9,28000001,14,26000012,9,0,1
300,300,#8Q29Y9PYG,6378,28000004,9,26000074,4,26000040,12,26000025,9,26000056,14,27000003,12,28000018,14,28000011,6,0,#2PV2LGVG,6407,26000020,9,26000027,9,28000006,9,28000002,7,28000008,13,28000010,6,26000007,9,26000049,14,3,2
301,301,#8Q29Y9PYG,6346,28000004,9,26000074,4,26000040,12,26000025,9,26000056,14,27000003,12,28000018,14,28000011,6,1,#208L9PVPL,6370,26000009,9,26000048,6,28000012,8,28000015,9,26000015,9,27000009,12,28000007,9,26000069,4,0,1
302,302,#8Q29Y9PYG,6313,28000004,9,26000074,4,26000040,12,26000025,9,26000056,14,27000003,12,28000018,14,28000011,6,3,#2JQRJ0UJL,6351,26000074,4,26000028,12,28000006,9,26000050,6,27000007,12,26000043,14,28000011,6,28000016,12,0,1
303,303,#8Q29Y9PYG,6284,28000004,9,26000074,4,26000040,12,26000025,9,26000056,14,27000003,12,28000018,14,28000011,6,2,#808Q2LG00,6281,26000039,12,26000018,12,28000007,9,26000048,6,26000015,9,28000012,9,28000015,9,26000009,9,1,1
304,304,#8Q29Y9PYG,6312,28000004,9,26000074,3,26000040,12,26000025,9,26000056,14,27000003,12,28000018,14,28000011,6,0,#2YCVPLLU,6326,26000055,6,28000010,6,26000061,6,26000042,6,26000044,9,27000012,12,28000015,9,28000009,9,1,2
305,305,#8Q29Y9PYG,6345,28000004,9,26000074,3,26000040,12,26000025,9,26000056,14,27000003,12,28000018,14,28000011,6,0,#P9UP0YRRL,6308,26000009,9,26000048,6,26000015,9,26000069,4,27000009,11,28000015,9,28000012,8,28000007,9,3,2
306,306,#8Q29Y9PYG,6315,28000004,9,26000074,3,26000040,12,26000025,9,26000056,14,27000003,12,28000018,14,28000011,6,1,#299R0C29C,6323,26000011,12,27000009,12,26000037,6,28000001,14,26000052,12,26000069,4,28000010,6,28000000,12,0,1
307,307,#8Q29Y9PYG,6287,28000004,9,26000074,3,26000040,12,26000025,9,26000056,14,27000003,12,28000018,14,28000011,6,1,#J0VRVC0PJ,6270,26000043,14,26000027,9,28000008,14,26000039,12,28000002,6,26000033,6,28000016,12,26000060,9,0,1
308,308,#8Q29Y9PYG,6258,28000004,9,26000074,3,26000040,12,26000025,9,26000056,14,27000003,12,28000018,14,28000011,6,1,#PQRGYU8R,6252,26000072,4,27000000,14,28000018,14,26000031,14,26000025,9,26000021,12,28000011,6,28000014,12,0,1
309,309,#8Q29Y9PYG,6289,28000004,9,26000074,3,26000040,12,26000025,9,26000056,14,27000003,12,28000018,14,28000011,6,0,#8JYGU8GC0,6270,28000010,6,26000069,4,26000023,6,26000015,9,27000009,12,28000009,9,28000012,9,28000015,9,1,2
310,310,#8Q29Y9PYG,6260,28000004,9,26000074,3,26000040,12,26000025,9,26000056,14,27000003,12,28000018,14,28000011,6,1,#928Y20L9P,6253,26000085,9,26000037,6,26000083,6,28000007,9,28000015,9,26000027,9,27000009,12,28000012,9,0,1
311,311,#8Q29Y9PYG,6233,28000004,9,26000074,3,26000040,12,26000025,9,26000056,14,27000003,12,28000018,14,28000011,6,1,#R8VJ2G8U,6207,26000058,9,26000074,4,26000047,14,26000043,14,27000013,9,26000050,6,26000026,6,26000062,6,0,1
312,312,#8Q29Y9PYG,6261,28000004,9,26000074,3,26000040,12,26000025,9,26000056,14,27000003,12,28000018,14,28000011,6,0,#2LG08CCVU,6278,26000025,9,26000011,12,26000026,6,28000004,9,26000084,14,27000003,12,28000011,6,28000003,12,1,2
313,313,#CGGL282G,6386,26000059,12,28000018,14,27000012,12,28000011,6,26000062,6,26000052,12,26000054,9,26000074,4,1,#9VPCUUPV,6358,26000084,14,26000061,6,26000044,9,28000007,9,26000065,4,26000050,6,26000024,14,28000011,6,0,1
314,314,#CGGL282G,6356,26000059,12,28000018,14,27000012,12,28000011,6,26000062,6,26000052,12,26000054,9,26000074,4,2,#LUU2GCLR,6359,26000031,14,26000013,14,26000005,14,26000035,6,28000001,14,26000022,14,26000003,12,26000043,14,1,1
315,315,#CGGL282G,6324,26000059,12,28000018,14,27000012,12,28000011,6,26000062,6,26000052,12,26000054,9,26000074,4,1,#2L22YVVYY,6357,26000021,12,26000014,12,28000000,12,26000038,12,26000010,14,26000030,14,27000000,14,28000011,6,0,1
316,316,#CGGL282G,6356,26000059,12,26000038,12,27000012,12,28000011,6,26000062,6,26000052,12,26000054,9,26000074,4,0,#2P08CQ8C,6326,26000059,12,26000010,14,26000072,4,26000031,14,27000000,14,28000018,14,28000011,6,28000014,12,1,2
317,317,#CGGL282G,6382,26000059,12,26000084,14,27000012,12,28000011,6,26000062,6,26000052,12,26000054,9,26000074,4,0,#8L0JRC90,6424,26000074,4,26000038,12,26000059,12,28000011,6,26000044,9,28000016,12,26000050,6,26000028,12,1,2
318,318,#CGGL282G,6412,26000059,12,26000084,14,27000012,12,28000011,6,26000062,6,26000052,12,26000054,9,26000074,4,0,#28QVC0PPJ,6412,28000002,9,26000083,6,26000027,9,26000039,12,28000008,14,26000018,12,26000033,6,26000060,9,3,2
319,319,#CGGL282G,6380,26000059,12,26000084,14,27000012,12,28000011,6,26000062,6,26000052,12,26000054,9,26000074,4,1,#2CYR8LCUP,6407,26000044,9,28000009,9,26000049,14,26000058,9,26000032,6,26000038,12,28000011,6,26000010,14,0,1
320,320,#CGGL282G,6347,26000059,12,26000084,14,27000012,12,28000011,6,26000062,6,26000052,12,26000054,9,26000074,4,1,#JG9LVL2Y,6382,26000060,9,26000033,6,26000027,9,26000043,14,26000039,12,26000042,6,28000002,7,28000008,14,0,1
321,321,#CGGL282G,6314,26000059,12,26000084,14,27000012,12,28000011,6,26000062,6,26000052,12,26000054,9,26000074,4,2,#VC09Y2YL,6349,26000029,6,26000006,9,26000037,6,26000080,14,26000046,6,26000012,9,28000000,12,28000001,14,1,1
322,322,#CGGL282G,6284,26000059,12,26000084,14,27000012,12,28000011,6,26000062,6,26000052,12,26000054,9,26000074,4,1,#QC0YRV0Y,6285,28000000,12,26000054,9,27000001,12,28000015,9,26000043,14,27000010,12,26000057,12,26000083,6,0,1
323,323,#CGGL282G,6311,26000059,12,28000001,14,27000012,12,28000011,6,26000062,6,26000052,12,26000054,9,26000074,4,1,#YJG8CURPL,6336,26000048,6,26000012,9,26000009,9,26000039,12,26000018,12,26000013,14,28000008,14,28000000,12,2,2
324,324,#CGGL282G,6281,26000059,12,28000001,14,27000012,12,28000011,6,26000062,6,26000052,12,26000054,9,26000074,4,1,#JUCYGPQJ,6288,26000011,12,26000021,12,26000002,13,26000030,14,26000045,9,28000012,7,28000003,12,28000011,6,0,1
325,325,#CGGL282G,6310,26000059,12,28000001,14,27000012,12,28000015,9,26000062,6,26000052,12,26000054,9,26000074,4,0,#8RCC8RC,6317,26000030,14,28000000,12,27000000,14,26000021,12,26000010,14,26000038,12,28000011,6,26000014,12,1,2
326,326,#CGGL282G,6278,26000059,12,28000001,14,27000012,12,28000015,9,26000062,6,26000052,12,26000054,9,26000074,4,2,#Y8QGPYUU,6307,26000069,4,28000010,6,26000034,9,26000037,6,26000052,12,27000009,12,28000001,14,28000000,12,0,1
327,327,#CGGL282G,6310,26000059,12,28000009,9,27000012,12,28000015,9,26000062,6,26000052,12,26000054,9,26000074,4,0,#YP09G09VY,6280,28000015,9,26000028,12,27000007,12,28000016,12,26000046,6,26000050,6,26000038,12,26000043,14,1,2
328,328,#CGGL282G,6283,26000059,12,28000009,9,27000012,12,28000015,9,26000062,6,26000052,12,26000054,9,26000074,4,1,#8J2CCV9L,6249,26000054,9,28000015,9,27000002,14,26000019,14,26000000,14,26000044,9,28000010,6,28000000,12,0,1
329,329,#CGGL282G,6314,26000059,12,28000009,9,27000012,12,28000015,9,26000062,6,26000052,12,26000054,9,26000011,12,0,#RLRJCQQ9,6296,26000009,9,26000054,9,28000008,14,26000027,9,28000007,9,26000039,12,26000015,9,28000012,9,1,2
330,330,#CGGL282G,6345,26000059,12,28000009,9,27000012,12,28000015,9,26000062,6,26000052,12,26000054,9,26000011,12,0,#QUGLUVCC,6323,26000061,6,27000002,14,28000010,6,26000052,12,28000009,9,26000044,9,26000069,4,28000011,6,1,2
331,331,#CGGL282G,6314,26000059,12,28000009,9,27000012,12,28000015,9,26000062,6,26000052,12,26000054,9,26000011,12,1,#CPLVULLP,6333,26000026,6,28000004,9,28000011,6,26000056,14,26000040,12,26000000,14,27000006,14,26000012,9,0,1
332,332,#CGGL282G,6283,26000059,12,28000009,9,27000012,12,28000015,9,26000062,6,26000052,12,26000054,9,26000011,12,1,#290RVQY2V,6305,26000004,9,28000008,14,26000062,6,26000036,12,28000009,9,26000046,6,26000050,6,26000042,6,0,1
333,333,#CGGL282G,6314,26000059,12,28000001,14,27000012,12,28000015,9,26000062,6,26000052,12,26000054,9,26000011,12,0,#L2V9C9LP9,6299,26000039,12,26000013,14,26000009,9,26000048,6,28000012,9,28000007,9,26000061,6,26000063,9,1,2
334,334,#PGP98LYPR,6980,26000084,14,27000000,14,26000065,4,28000003,12,26000025,9,28000004,9,28000011,6,26000026,6,1,#PR0VJGY89,7022,26000054,9,26000032,6,28000011,6,26000072,4,26000000,14,27000002,14,28000000,12,26000049,14,0,1
335,335,#PGP98LYPR,6952,26000084,14,27000000,14,26000065,4,28000003,12,26000025,9,28000004,9,28000011,6,26000026,6,1,#2QQUJ0QL9,6937,28000011,6,26000030,14,26000038,12,28000000,12,26000010,14,26000014,12,27000000,14,26000021,12,0,1
336,336,#PGP98LYPR,6921,26000084,14,27000000,14,26000065,4,28000003,12,26000025,9,28000004,9,28000011,6,26000026,6,1,#YLR29Y2L,6939,26000060,9,26000032,6,28000008,14,26000022,14,26000033,6,26000019,14,26000027,9,26000049,14,0,1
337,337,#PGP98LYPR,6893,26000084,14,27000000,14,26000065,4,28000003,12,26000025,9,28000004,9,28000011,6,26000026,6,1,#8LV9JJ9P0,6870,26000026,6,26000027,9,28000017,14,28000004,9,26000053,14,26000046,6,26000054,9,28000003,12,0,1
338,338,#PGP98LYPR,6865,26000084,14,27000000,14,26000065,4,28000003,12,26000025,9,28000004,9,28000011,6,26000026,6,1,#YG8CGPYJ,6853,26000055,6,26000072,4,26000051,6,28000015,9,28000007,9,26000046,6,28000017,14,26000037,6,0,1
339,339,#PGP98LYPR,6893,26000084,14,27000000,14,26000065,4,28000003,12,26000025,9,28000004,9,28000011,6,26000026,6,0,#880GLQQJ,6907,28000008,14,26000013,14,28000001,14,26000001,14,26000039,12,26000011,12,26000021,12,26000003,12,1,2
340,340,#PGP98LYPR,6863,26000084,14,27000000,14,26000065,4,28000003,12,26000025,9,28000004,9,28000011,6,26000026,6,1,#9YJQCR9JQ,6864,26000015,9,26000067,12,27000005,12,26000043,14,26000063,9,28000002,9,28000012,9,26000068,12,0,1
341,341,#PGP98LYPR,6832,26000084,14,27000000,14,26000065,4,28000003,12,26000025,9,28000004,9,28000011,6,26000026,6,2,#9LRYCRRQU,6847,26000060,9,26000033,6,26000052,12,26000049,14,26000027,9,28000008,14,28000002,9,26000018,12,0,1
342,342,#PGP98LYPR,6864,26000084,14,27000000,14,26000065,4,28000003,12,26000025,9,28000004,9,28000011,6,26000026,6,0,#8LYVGL28,6831,26000065,4,28000011,6,28000009,9,26000057,12,26000083,6,26000059,12,26000047,14,26000052,12,1,2
343,343,#PGP98LYPR,6837,26000084,14,27000000,14,26000065,4,28000003,12,26000025,9,28000004,9,28000011,6,26000026,6,1,#208VPQ28G,6807,26000009,9,26000048,6,26000018,12,26000039,12,26000013,14,26000012,9,28000008,14,28000007,9,0,1
344,344,#PGP98LYPR,6870,26000084,14,27000000,14,26000065,4,28000003,12,26000025,9,28000004,9,28000011,6,26000026,6,1,#9J00RUV,6832,28000001,14,28000000,12,26000057,12,27000012,12,26000074,4,26000059,12,26000047,14,26000052,12,2,2
345,345,#PGP98LYPR,6841,26000084,14,27000000,14,26000065,4,28000003,12,26000025,9,28000004,9,28000011,6,26000026,6,1,#Q8PRJ8P8Q,6835,28000004,9,26000021,12,26000018,12,26000065,4,26000064,14,26000012,9,26000049,14,28000011,5,0,1
346,346,#PGP98LYPR,6870,26000084,14,27000000,14,26000065,4,28000003,12,26000025,9,28000004,9,28000011,6,26000026,6,0,#UJ2JU98P,6875,26000009,9,27000007,12,28000012,9,26000039,12,26000016,9,26000027,9,28000008,13,26000015,9,1,2
347,347,#2UVPGCV0Y,6361,26000059,12,26000072,4,28000011,6,26000010,14,27000000,14,28000018,14,26000031,14,28000014,12,2,#9QRPQPU8,6372,26000048,6,26000055,6,26000052,12,28000015,9,26000069,4,26000083,6,26000061,6,28000007,9,0,1
348,348,#2UVPGCV0Y,6390,26000021,12,26000072,4,28000011,6,26000010,14,27000000,14,28000018,14,26000031,14,28000014,12,0,#2LCY0U2R0,6398,28000010,6,26000069,4,26000034,9,28000005,9,26000039,12,27000003,12,28000001,14,26000001,14,1,2
349,349,#2UVPGCV0Y,6416,26000021,12,26000072,4,28000011,6,26000010,14,27000000,14,28000018,14,26000031,14,28000014,12,0,#2GGQU9QCP,6454,26000004,9,28000012,9,26000045,9,26000027,9,28000005,9,28000010,6,26000042,6,26000084,14,3,2
350,350,#2UVPGCV0Y,6443,26000021,12,26000072,4,28000011,6,26000010,14,27000000,14,28000018,14,26000031,14,28000014,12,0,#28JUC20P,6469,26000024,14,26000083,6,26000061,6,28000000,12,28000011,6,26000084,14,26000027,9,26000072,4,3,2
351,351,#2UVPGCV0Y,6413,26000021,12,26000072,4,28000011,6,26000010,14,27000000,14,28000018,14,26000031,14,28000014,12,1,#LPRJ2QQCC,6415,26000055,6,26000083,6,26000035,6,26000037,6,26000061,6,28000001,14,26000006,9,28000008,14,0,1
352,352,#2UVPGCV0Y,6442,26000021,12,26000072,4,28000011,6,26000010,14,27000000,14,28000018,14,26000031,14,28000014,12,0,#L0PC2VV,6446,26000004,9,26000045,9,26000042,6,28000006,9,26000074,4,26000050,6,26000061,6,26000046,6,3,2
353,353,#2UVPGCV0Y,6474,26000024,14,26000031,14,26000061,6,28000010,6,27000012,12,26000072,4,28000017,13,28000000,12,0,#99QQURRUC,6443,28000018,14,26000025,8,26000031,14,26000072,4,28000014,12,26000059,12,27000000,14,28000011,6,1,2
354,354,#2UVPGCV0Y,6502,26000024,14,26000010,14,26000061,6,28000010,6,27000012,12,26000072,4,28000017,13,28000000,12,1,#8QJQRL09,6521,27000002,14,26000069,4,26000056,14,26000054,9,26000040,12,28000001,14,26000012,9,26000049,14,3,2
355,355,#2UVPGCV0Y,6530,26000024,14,26000010,14,26000061,6,28000010,6,27000012,12,26000072,4,28000017,13,28000000,12,0,#JRLPVR8V,6545,26000010,14,26000021,12,26000014,12,28000011,6,26000030,14,26000038,12,27000000,14,28000000,12,1,2
356,356,#2UVPGCV0Y,6501,26000024,14,26000012,9,26000061,6,28000010,6,26000050,6,26000072,4,28000017,13,28000000,12,1,#2URRJ2VVG,6493,28000010,6,26000023,6,26000015,9,27000009,12,28000009,9,28000015,9,28000012,9,26000065,4,0,1
357,357,#2UVPGCV0Y,6472,26000024,14,26000012,9,26000061,6,28000010,6,26000050,6,26000072,4,28000017,13,28000000,12,1,#QJ908QU2,6469,26000000,14,27000002,14,26000019,14,26000056,14,26000014,12,28000011,6,26000041,14,28000009,9,0,1
358,358,#2UVPGCV0Y,6446,26000024,14,26000012,9,26000061,6,28000010,6,26000050,6,26000072,4,28000017,13,28000000,12,1,#2J9CJ8QLP,6409,26000021,12,26000011,12,26000064,14,27000006,14,28000007,9,28000011,6,26000084,14,26000010,14,0,1
359,359,#2UVPGCV0Y,6472,26000024,14,26000012,9,26000061,6,28000010,6,26000050,6,26000072,4,28000017,13,28000011,6,0,#2PR2J2ULC,6510,26000072,4,26000046,6,26000050,6,26000062,6,26000036,12,28000008,14,28000016,12,26000043,14,1,2
